region,anzsic_descriptor,anzsic_descriptor2,category,gas,units,magnitude,year,data_val
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,39.43
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,40.36
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,30.18
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,25.66
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,42.59
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,27.34
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,22.57
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,24.14
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,22.02
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,16.56
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,21.05
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,20.06
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,18.13
Auckland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,37.62
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,121.98
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,112.58
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,114.98
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,137.79
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,139.97
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,129.25
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,144.38
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,136.49
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,134.7
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,121.64
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,136.85
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,142.15
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,132.91
Bay of Plenty,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,142.41
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,74.94
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,80.86
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,120.48
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,120.83
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,125.47
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,130.51
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,127.33
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,143.34
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,136.2
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,127.4
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,124.81
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,149.86
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,152.77
Canterbury,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,157.07
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,31.36
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,37.14
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,44.8
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,49.6
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,52.38
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,54.63
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,63.64
Gisborne,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,56.53
